date,open,high,low,close,volume
2000-07-27,59.9429,60.8322,59.6374,60.1830,4047400
2000-07-28,60.6249,61.3778,59.3974,61.0014,5355600
2000-07-31,60.2867,62.0271,60.0466,61.2414,5113500
2000-08-01,61.1050,61.3451,60.1503,60.2867,2996500
2000-08-02,60.5594,62.6708,60.4230,62.3326,5877900
2000-08-03,61.6506,63.5601,61.2742,63.2873,5567400
2000-08-04,63.2873,63.5601,62.3653,63.2164,4460500
2000-08-07,63.6256,64.9241,63.1837,63.4565,5910700
2000-08-08,63.1872,65.3337,63.1162,64.9241,5736700
2000-08-09,64.9951,65.9837,64.8585,64.8585,6585400
2000-08-10,64.8585,65.6778,64.3779,65.4047,5484100
2000-08-11,65.4047,66.5298,65.0989,65.8799,6142400
2000-08-14,65.5413,67.5567,65.1644,67.3163,4949400
2000-08-15,66.6664,66.9723,65.9509,66.6336,4378100
2000-08-16,66.1202,67.1470,65.2682,66.8357,5946000
2000-08-17,65.4047,67.0760,65.2682,66.9067,4338400
2000-08-18,66.8357,67.3819,65.6068,65.7816,4127500
2000-08-21,66.1202,66.7374,65.5740,66.3278,3234200
2000-08-22,66.1912,66.7374,66.0874,66.2895,2769400
2000-08-23,65.7106,67.5894,65.4703,67.3163,4251200
2000-08-24,67.1798,68.5125,67.0105,68.1684,5988300
2000-08-25,67.8953,70.9375,67.8625,70.4569,8279000
2000-08-28,70.9375,72.7453,70.8665,71.8223,8536600
2000-08-29,71.8223,73.3243,71.5492,72.5760,6040000
2000-08-30,71.4127,71.8223,70.7627,71.1724,4928800
2000-08-31,72.0299,73.2915,71.8933,72.1063,5469500
2000-09-01,72.6743,73.7012,72.4395,72.9857,5776300
2000-09-05,72.5378,72.8109,71.4454,71.6530,4112100
2000-09-06,71.4837,73.6684,71.2106,71.7895,6473000
2000-09-07,72.0299,73.4608,72.0299,72.8491,4622800
2000-09-08,72.3685,72.6088,70.6644,70.7300,4993700
2000-09-11,69.8397,70.0472,67.5184,67.9991,7617700
2000-09-12,68.1684,69.2935,67.7587,68.2722,5001700
2000-09-13,67.2453,70.3531,67.0433,69.7414,5473600
2000-09-14,69.9107,70.5606,68.9876,69.2935,4425500
2000-09-15,69.2607,69.5011,68.1356,68.2722,5481700
2000-09-18,68.4087,68.8183,67.2126,67.3163,3932800
2000-09-19,67.0433,68.9549,66.9395,68.2394,3341000
2000-09-20,68.1028,69.1242,67.4529,68.1356,4623400
2000-09-21,67.8297,69.1952,65.5413,66.3605,4302200
2000-09-22,67.1798,67.8953,66.2568,67.6550,5930100
2000-09-25,67.9991,69.1570,66.0874,67.1798,4291000
2000-09-26,65.5413,66.5626,64.6510,65.0606,6217200
2000-09-27,65.5740,65.7106,63.0835,64.4489,5948900
2000-09-28,64.1048,64.9241,62.8104,62.9469,5309100
2000-09-29,63.0835,63.8700,60.2160,61.5105,9594600
2000-10-02,61.5105,65.3337,61.5105,64.3451,8872200
2000-10-03,64.9241,65.1972,60.0795,60.3854,11744200
2000-10-04,60.2816,62.7394,59.2930,62.4663,11668900
2000-10-05,62.1604,62.5701,60.9315,61.8218,5547000
2000-10-06,62.2642,63.4221,61.5815,63.3566,6108400
2000-10-09,63.3238,65.1972,62.4335,64.4161,4898000
2000-10-10,63.6952,63.9683,61.4122,62.7394,5614200
2000-10-11,61.1008,61.6853,58.7141,61.1718,8775800
2000-10-12,62.4007,62.4663,56.3218,56.3218,9704900
2000-10-13,56.9062,60.3198,56.9062,59.5661,9092600
2000-10-16,60.8988,61.7836,59.2930,60.6912,7710400
2000-10-17,61.1391,62.1932,59.2930,61.7180,8882500
2000-10-18,52.8426,54.1371,49.2925,52.1272,29777800
2000-10-19,53.5254,53.7985,50.6252,52.6733,17966900
2000-10-20,51.9524,52.5696,51.4444,51.7503,9369200
2000-10-23,51.7503,51.8868,49.7349,50.7235,9338600
2000-10-24,50.7945,51.5427,49.2597,49.9424,8826200
2000-10-25,49.4290,49.6694,47.4846,47.8233,14058500
2000-10-26,48.0636,50.7235,47.8560,50.6579,10135700
2000-10-27,50.7945,51.1713,49.7021,51.1713,6431400
2000-10-30,51.0676,51.2041,49.3253,50.9638,8084000
2000-10-31,51.2041,54.1371,51.2041,53.7985,10902600
2000-11-01,53.7657,54.5467,53.1157,53.8312,7466200
2000-11-02,54.0715,55.8794,53.7985,55.6773,7445100
2000-11-03,55.9832,56.0487,54.2736,54.6833,5848500
2000-11-06,54.5467,55.9122,54.3119,54.7870,4448500
2000-11-07,55.2294,56.5293,54.9946,55.8794,5420600
2000-11-08,56.6685,56.7396,54.2786,54.6887,6990800
2000-11-09,52.9113,54.6887,52.3316,54.3825,9047900
2000-11-10,53.5950,53.7973,50.8605,50.8605,6807900
2000-11-13,50.2097,54.3825,50.1058,53.2887,8684900
2000-11-14,54.2786,54.6176,53.8684,54.4153,5150900
2000-11-15,54.4153,54.7215,53.3871,54.3442,4160300
2000-11-16,54.2786,54.5192,53.7317,53.7317,3739700
2000-11-17,53.7645,56.0559,53.7317,55.7497,7717400
2000-11-20,55.5091,56.4661,55.1645,56.4661,7426600
2000-11-21,56.4661,57.0786,53.8684,53.8684,7180700
2000-11-22,53.8684,55.1317,53.7645,53.8684,5537100
2000-11-24,54.3442,55.6458,54.2786,54.6559,2497500
2000-11-27,54.9294,55.7825,53.8356,53.8356,3866200
2000-11-28,54.0051,55.0989,53.2504,53.5239,4799100
2000-11-29,53.4582,54.6559,52.8785,54.5848,5524600
2000-11-30,53.5950,53.5950,50.4503,51.1340,10651400
2000-12-01,51.6480,54.3114,51.6098,52.2934,7525100
2000-12-04,52.5012,54.2457,52.3645,53.7973,5566800
2000-12-05,54.9294,57.2864,54.4809,56.5317,7804200
2000-12-06,55.6458,55.6786,51.8504,52.9113,10096900
2000-12-07,51.9871,52.4684,50.9261,50.9261,7922000
2000-12-08,53.5950,54.1418,52.3645,53.0481,6140600
2000-12-11,52.7746,53.7317,51.2707,51.9543,6185600
2000-12-12,52.0910,52.5668,50.5871,51.3363,7913300
2000-12-13,51.8832,52.8402,49.5972,49.9035,6992600
2000-12-14,50.3136,51.2379,50.2097,50.5543,6131400
